tipo,grupo,nombre_grupo,subgrupo,nombre_subgrupo,subgrupos,articulos,rubro_PROPUESTO,subcuenta_PROPUESTA
SERVICIO,95,SERVICIOS DE CUMPLIMIENTOS,01,AUDITORIAS,1,10,,
SERVICIO,95,SERVICIOS DE CUMPLIMIENTOS,02,SERVICIOS Y CONSULTORÍA,1,9,,
SERVICIO,95,SERVICIOS DE CUMPLIMIENTOS,03,SEGUROS Y FIANZAS,1,5,,
SERVICIO,95,SERVICIOS DE CUMPLIMIENTOS,04,TRAMITES Y PERMISOS,1,3,,
SERVICIO,95,SERVICIOS DE CUMPLIMIENTOS,05,NO DEDUCIBLES,1,1,,
SERVICIO,96,SERVICIOS LOGÍSTICOS,01,LOGÍSTICOS,1,14,,
SERVICIO,97,SERVICIOS DE SEGURIDAD,01,SERVICIO DE SEGURIDAD,1,13,,
SERVICIO,98,SERVICIOS DE CALIDAD,01,CALIDAD,1,3,,
SERVICIO,98,SERVICIOS DE CALIDAD,02,PRUEBAS NO DESTRUCTIVAS,1,3,,
SERVICIO,99,SERVICIOS TÉCNICOS,01,SERVICIOS TÉCNICOS,1,15,,
